holding,article_ref,description,system_ref,unit,received,issued,balance
"Villa D58, Flame Tree Ridge A",225015,C/s screw M4x25 ISR15,"70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,24.0,-24.0
"Villa D58, Flame Tree Ridge A",227018,Drainage cover cap,"70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,24.0,-24.0
"Villa D58, Flame Tree Ridge A",245791,Rebate gasket BF 22,"70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,21.0,-21.0
"Villa D58, Flame Tree Ridge A",224690,Cover prof. 9005,"70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,20.0,-20.0
"Villa D58, Flame Tree Ridge A",225463,Insul-prf.,"70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,20.0,-20.0
"Villa D58, Flame Tree Ridge A",246145,PA insul. bar Sm 20,"70PD & 90HI, 35PD CW - 7pcs",BAR,0.0,20.0,-20.0
"Villa D58, Flame Tree Ridge A",279714,Turn hng 9005,"70PD & 90HI, 35PD CW - 7pcs",,0.0,20.0,-20.0
Stock,205081,"C/S SCREW ST3,9X16 ISR15",ADS / AWS 65,PACKET,0.0,19.0,-19.0
Stock,276201,SUSPN. ARM S SZ2 OW,ADS / AWS 65,PACKET,20.0,38.0,-18.0
"Villa D58, Flame Tree Ridge A",205430,"C/s screw ST3,9x9,5 ISR15","70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,16.0,-16.0
"Villa D58, Flame Tree Ridge A",205478,C/s screw M4x6 ISR20,"70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,16.0,-16.0
"Villa D58, Flame Tree Ridge A",245732,Brush seal 15,"70PD & 90HI, 35PD CW - 7pcs",NO,0.0,16.0,-16.0
"Villa D58, Flame Tree Ridge A",9643204,centre seal,"70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,16.0,-16.0
Stock,288191,Surf. activ. PUR,ASE 54 PD,NO,29.0,44.0,-15.0
"Villa D58, Flame Tree Ridge A",244173,Glazg rebate gaskt 3,"70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,15.0,-15.0
Stock,277048,LOCK. ROLLER ADJUSTAB. S 160KG IW,ADS / AWS 65,PACKET,0.0,14.0,-14.0
Stock,279290,DOUBLE CYLINDR 50/30 30°,ADS / AWS 65,NO,0.0,14.0,-14.0
Stock,295903,PA-PROFILE - SA-03,ASE 54 PD,BAR,0.0,14.0,-14.0
Rasha + 606+Mea 9 miss access,288346,DIVERSE F&A (adaptor 288346),MTO for 54 PD stock,PAIR,0.0,14.0,-14.0
"Villa 80 - ST3, Esmeralda – A",9657618,plastic cap RAL 9010,ASE 36 (BALANCE),PACKET,0.0,14.0,-14.0
"Villa D58, Flame Tree Ridge A",245731,PA insul. bar Gr 50,"70PD & 90HI, 35PD CW - 7pcs",BAR,0.0,14.0,-14.0
Stock,258355,Knob C0,ASE 54 PD,NO,1.0,14.0,-13.0
"Villa D58, Flame Tree Ridge A",245539,PA insul. bar Sm 50,"70PD & 90HI, 35PD CW - 7pcs",BAR,0.0,12.0,-12.0
"Villa D58, Flame Tree Ridge A",276879,Keep,"70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,12.0,-12.0
"Villa D58, Flame Tree Ridge A",288180,Special adhesive Silicne,"70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,12.0,-12.0
"Villa D58, Flame Tree Ridge A",288181,Surf. activ. Silicne,"70PD & 90HI, 35PD CW - 7pcs",NO,0.0,12.0,-12.0
Stock,241003,"SAFEMATIC H >2500 1-LF34,5",ADS / AWS 65,NO,0.0,11.0,-11.0
Stock,276797,DOOR STOP SLVR,ASE 70 PD.ME,PACKET,0.0,11.0,-11.0
Stock,240866,STRIKE PLATE KIT,ADS / AWS 65,NO,0.0,10.0,-10.0
Stock,248979,ENGAG. BLCK RC2 OW,ADS / AWS 65,PACKET,20.0,30.0,-10.0
