article_ref,description,system_ref,unit,min_qty
391420,INSRT OUTER FR.53/24 (319740)  ( I ),ADS / AWS 65,BAR,0
391440,INNER PROFILE 69 (319760)  ( I ),ADS / AWS 65,BAR,0
391450,INSRT OUTER FR.53/24 (319740)  ( O ),ADS / AWS 65,BAR,0
391470,OUTER PROFILE 40 (319760)  (O),ADS / AWS 65,BAR,0
391490,VENT PROFILE OW35/86 (319860)  ( I ),ADS / AWS 65,BAR,0
391510,VENT PROFILE OW35/86 (319860)  ( O ),ADS / AWS 65,BAR,0
391520,VENT PROFILE OW35/86 (319870)  ( I ),ADS / AWS 65,BAR,0
391760,REV. REB. PROF. 54 (319910)  ( I ),ADS / AWS 65,BAR,0
391770,REV. REB. PROF. 54 (319910)  ( O ),ADS / AWS 65,BAR,0
391780,INNER PROFILE 26 (319920)  ( I ),ADS / AWS 65,BAR,0
391790,OUTER PROFILE 61 (319920)  ( O ),ADS / AWS 65,BAR,0
397200,Outer shell 125,ADS 65 HINGED DOOR,BAR,0
397850,Inner shell 73,ADS / AWS 65,BAR,0
397880,INNER PROFILE 48 (395400)  ( I ),ADS / AWS 65,BAR,0
397890,Inner shell 48,ADS / AWS 65,BAR,0
398010,OUTER FRAME 44/69 (362080)  ( I ),ADS / AWS 65,BAR,0
398020,OUTER FRAME 44/69 (362080)  ( O ),ADS / AWS 65,BAR,0
398030,Inner shell 44,ADS 65 HINGED DOOR,BAR,0
398040,Inner shell 44,ADS 65 HINGED DOOR,BAR,0
398050,Inner shell 69,ADS / AWS 65,BAR,0
398060,Outer shell 44,ADS / AWS 65,BAR,0
398200,RVRS. REBATE PRO. 50 (362140)  ( I ),ADS / AWS 65,BAR,0
398210,RVRS. REBATE PRO. 50 (362140)  ( O ),ADS / AWS 65,BAR,0
398970,Inner shell 100,ADS 65 HINGED DOOR,BAR,0
446410,INNER PROFILE  (9644200) ( I ),ADS / AWS 65,BAR,0
446510,OUTER PROFILE  (9644200) ( O ),ADS / AWS 65,BAR,0
460680,Threshld 1-tr,ASE 80 Lift & Slide + CW,BAR,0
460770,"Outer shell 43/9,8",ASE 80 Lift & Slide + CW,BAR,0
460780,"Centre shell 43/26,2",ASE 80 Lift & Slide + CW,BAR,0
467860,"T-cleat profile 8,2",AWS65,BAR,0
467910,"Corner cleat prof. 30,3",AWS65,BAR,0
467920,"Corner cleat prof. 26,5",AWS65,BAR,0
477600,Pressure plte P-p,ASE 80 Lift & Slide + CW,BAR,0
477780,Mullion 125,"70PD & 90HI, 35PD CW - 7pcs",BAR,0
477830,Transm 130,"70PD & 90HI, 35PD CW - 7pcs",BAR,0
484390,Pressure plte Pre-ass.,"70PD & 90HI, 35PD CW - 7pcs",BAR,0
484560,Cover cap 17,"70PD & 90HI, 35PD CW - 7pcs",BAR,0
485990,"Extra prof. 54,4",ASE 80 Lift & Slide + CW,BAR,0
493730,Cover cap 20,ASE 80 Lift & Slide + CW,BAR,0
503030,Outer shell 92,ASE 80 Lift & Slide + CW,BAR,0
503040,Inner shell 70,ASE 80 Lift & Slide + CW,BAR,0
525440,Inner shell 32,"70PD & 90HI, 35PD CW - 7pcs",BAR,0
525460,Inner shell 46,AS FD 90 HI,BAR,0
538260,Clips Profile,ASE 54 PD,BAR,0
542000,Cover prof. OF,ASE 80 Lift & Slide + CW,BAR,0
542020,Outer shell 7,"70PD & 90HI, 35PD CW - 7pcs",BAR,0
542100,Inner shell 26,AS FD 90 HI,BAR,0
542110,Outer shell 41,AS FD 90 HI,BAR,0
542120,Outer shell 48,"70PD & 90HI, 35PD CW - 7pcs",BAR,0
542370,Outer shell 66,AS FD 90 HI,BAR,0
542380,Outer shell 73,"70PD & 90HI, 35PD CW - 7pcs",BAR,0
542770,Inner shell 51,AS FD 90 HI,BAR,0
542910,Inner shell 48,ASE 80 Lift & Slide + CW,BAR,0
542920,Centre shell 46,ASE 80 Lift & Slide + CW,BAR,0
542950,Cover prof.,ASE 80 Lift & Slide + CW,BAR,0
542980,Outer shell 71,AS FD 90 HI,BAR,0
550570,Locking Bar - 9643198,ASE 54 PD,BAR,0
555930,Inner shell 47,AS FD 90 HI,BAR,0
555940,Outer shell 83,AS FD 90 HI,BAR,0
555990,Inner shell 11,AS FD 90 HI,BAR,0
576000,Outer shell 7,AS FD 90 HI,BAR,0
576010,Inner shell 32,AS FD 90 HI,BAR,0
576030,Outer shell 7,AS FD 90 HI,BAR,0
576040,Inner shell 46,AS FD 90 HI,BAR,0
576050,Outer shell 71,AS FD 90 HI,BAR,0
576090,Inner shell 39,AS FD 90 HI,BAR,0
576110,Outer shell 39,AS FD 90 HI,BAR,0
584000,"Insert prof. 12,5","70PD & 90HI, 35PD CW - 7pcs",BAR,0
585000,Inner/outer shell,ASE 54 PD,BAR,0
585010,"Centre shell 17,1/20,7-45",ASE 54 PD,BAR,0
585020,ROLLER PROFILE - SP-03,ASE 54 PD,BAR,0
585030,"Inner/outer shell 10,6/14,5",ASE 54 PD,BAR,0
585040,Vent frame jamb RP-06 - SP-05 (557450),ASE 54 PD,BAR,0
585050,Vent jamb support profile - SP-06,ASE 54 PD,BAR,0
585060,Cov. prof. OF bottom - SP-07,ASE 54 PD,BAR,0
585070,Cover prof. outer fr - SP-08,ASE 54 PD,BAR,0
585080,Interlock vent - SP-09,ASE 54 PD,BAR,0
585100,CORNER CLEAT PROFILE - SP-11,ASE 54 PD,BAR,0
585110,ADAPTOR PROFILE - SP-12,ASE 54 PD,BAR,0
585120,OUTER FRAME FINISH FLOOR COVER - SP-13,ASE 54 PD,BAR,0
585130,Track carriage profile_Invisible threshold - SP-14,ASE 54 PD,BAR,0
585140,"Outer frame, Triple Track RP-31 - SP-15 (557500) 600P",ASE 54 PD,BAR,0
585150,Locking Bar - SP-16,ASE 54 PD,BAR,0
585160,"M/stile pr. Narr 23,5/50-25",ASE 54 PD sliding doors,BAR,0
585170,"M/stile pr. Narr 51,4/74,9",ASE 54 PD sliding doors,BAR,0
585180,Inner/outer shell,ASE 54 PD sliding doors,BAR,0
585190,"M/stile pr. 11,5/24,2",ASE 54 PD sliding doors,BAR,0
585200,"Vent frame 1-pt 23/23,7",ASE 54 PD sliding doors,BAR,0
585210,"Outer frame, Triple Track RP-31 - SP-22 (557500) 600P",ASE 54 PD,BAR,0
585230,GUTTER PROFILE - SP-24,ASE 54 PD,BAR,0
585240,Interlock - SP-25,ASE 54 PD,BAR,0
585310,COVER PROFILE - 9645370,ASE 54 PD,BAR,0
585340,Fixing Profile - 9642422,ASE 54 PD,BAR,0
585350,LOCKING KEEP - 9656656,ASE 54 PD,BAR,0
585360,CORNER CLEAT PROFILE - 9061608,ASE 54 PD,BAR,0
660167,End cap Interlk,MTO for 54 PD stock,PACKET,0
660168,End cap Interlk,MTO for 54 PD stock,PACKET,0
661443,Window hndle 9010 OW,MTO for 54 PD stock,NO,0
9626192,"Outer frame, top (9626842 - Triple Track)",ASE 70 PD.ME,BAR,0
9626193,OUTER FRAME TOP (9626842)  ( M ),ASE 70 PD.ME,BAR,0
9626195,Outer frame vert. (9626843 - Triple Track),ASE 70 PD.ME,BAR,0
9626196,OUTER FRAME VERTICAL (9626843)  ( M ),ASE 70 PD.ME,BAR,0
9626201,vent frame inner pr.,ASE 70 PD.ME,BAR,0
9626213,"OUTER FRAME COVER, TOP, SIDE, ALUMINIUM",ASE 70 PD.ME,BAR,0
9626214,additional profile,"70PD & 90HI, 35PD CW - 7pcs",BAR,0
9626617,DICHSET SEAL KIT,ASE 70 PD.ME,PACKET,0
9633805,"CONTINUOUS PIVOT PROFILE, VERTICAL , ALUMINIUM",ASE 70 PD.ME,BAR,0
9633806,"CONTINUOUS PIVOT PROFILE, VERTICAL , ALUMINIUM",ASE 70 PD.ME,BAR,0
9633807,COVER GASKET,ASE 70 PD.ME,PACKET,0
9638095,window handle,ASE 36 (BALANCE),NO,0
9638547,Inner Shell,ASE 36,BAR,0
9638549,Inner Shell,ASE 36,BAR,0
9638551,Centre Shell,ASE 36,BAR,0
9638553,vent frame inner pr.,ASE 36,BAR,0
9638555,Outer Shell,ASE 36,BAR,0
9638557,Centre Shell,ASE 36,BAR,0
9638559,vent frame inner pr.,ASE 36 (BALANCE),BAR,0
9638561,vent frame inner pr.,ASE 36 (BALANCE),BAR,0
9638563,"Interlock Profile , Aluminium",ASE 36,BAR,0
9638565,Cover profile,ASE 36,BAR,0
9638566,Cover profile,ASE 36,BAR,0
9638567,Locking Bar Profile,ASE 36,BAR,0
9638568,Support Profile,ASE 36,BAR,0
9639350,door threshold,ADS / AWS 65,BAR,0
9640297,Cover,ASE 36,NO,0
9640298,Cover,ASE 36,NO,0
9640299,cover,ASE 36 (BALANCE),PACKET,0
9640300,cover,ASE 36 (BALANCE),PACKET,0
9640301,cover,ASE 36 (BALANCE),PACKET,0
9640302,sealing cover,ASE 36 (BALANCE),PACKET,0
9640303,sealing cover,ASE 36 (BALANCE),PACKET,0
9640307,Locking Plate,ASE 36,PACKET,0
9640308,locking plate,ASE 36 (BALANCE),PACKET,0
9642410,INNER SHELL ( 9656510) ( I ),ASE 55 Lift & Slide,BAR,0
9642411,OUTER SHELL ( 9656510) ( O ),ASE 55 Lift & Slide,BAR,0
9642418,TRACK PROFILE,ASE 55 Lift & Slide,BAR,0
9642420,COVER PROFILE,ASE 55 Lift & Slide,BAR,0
9642422,FIXING PROFILE,ASE 55 Lift & Slide,BAR,0
9642426,ROLLER SUPPORT PROFILE,ASE 55 Lift & Slide,BAR,0
9642596,GUIDE PIECE TOP,ASE 55 Lift & Slide,PACKET,0
9642598,END CAP,ASE 55 Lift & Slide,PACKET,0
9642767,GUIDE PIECE BOTTOM NORMAL SLIDE,ASE 55 Lift & Slide,PACKET,0
9642828,INNER SHELL ( 9642863) ( I ),ASE 55 Lift & Slide,BAR,0
9642834,COVER PROFILE,ASE 55 Lift & Slide,BAR,0
9642835,SCREW PORT PROFILE FOR CONNECTION WITH DESIN,ASE 55 Lift & Slide,BAR,0
9642836,COUPLING PROFILE (PVC),ASE 55 Lift & Slide,BAR,0
9642862,OUTER SHELL ( 9642863) ( O ),ASE 55 Lift & Slide,BAR,0
9643016,OUTER SHELL ( 9648622) ( O ),ASE 55 Lift & Slide,BAR,0
9643167,inner facing frame,"70PD & 90HI, 35PD CW - 7pcs",BAR,0
9643168,OUTER FRAME BOTTOM 500 GUTTER (9645364)  ( M ),ASE 70 PD.ME,BAR,0
9643171,vent frame inner pr.,ASE 70 PD.ME,BAR,0
9643172,SHUTTER FRAME BOTTOM (9643173)  ( M ),ASE 70 PD.ME,BAR,0
9643174,TOP VENT FRAME (9643175),ASE 70 PD.ME,BAR,0
9643176,vent frame inner pr.,"70PD & 90HI, 35PD CW - 7pcs",BAR,0
9643177,VENT FRAME VERTICAL  (9643179)  ( O ),ASE 70 PD.ME,BAR,0
9643180,vent frame inner pr.,ASE 70 PD.ME,BAR,0
9643181,SHUTTER FRAME BOTTOM (9643182)  ( M ),ASE 70 PD.ME,BAR,0
9643183,mullion inner prof.,"70PD & 90HI, 35PD CW - 7pcs",BAR,0
9643184,mullion outer prof.,"70PD & 90HI, 35PD CW - 7pcs",BAR,0
9643186,mullion inner prof.,"70PD & 90HI, 35PD CW - 7pcs",BAR,0
9643187,mullion outer prof.,"70PD & 90HI, 35PD CW - 7pcs",BAR,0
9643189,"STRUCTURAL INTERLOCK PROFILE, TYPE 2C, 31MM, A",ASE 70 PD.ME,BAR,0
9643193,"INSERT PROFILE, FIXED VENT, 500KG, ALUMINIUM",ASE 70 PD.ME,BAR,0
9643194,"COVER PROFILE, ALUMINIUM",ASE 70 PD.ME,BAR,0
9643195,"COVER CLIP, ALUMINIUM",ASE 70 PD.ME,BAR,0
9643196,"INSERT PROFILE FOR FINISH FLOOR, ALUMINIUM",ASE 70 PD.ME,BAR,0
9643197,FIXING PROFILE FOR TOP LOCK WITH 31MM INTERLOC,ASE 70 PD.ME,BAR,0
9643198,"LOCKING BAR, ALUMINIUM",ASE 70 PD.ME,BAR,0
9643199,"LOCKING BAR, ALUMINIUM",ASE 70 PD.ME,BAR,0
9643200,ISOLATOR PROFILE,ASE 70 PD.ME,BAR,0
9643202,INTERLOCK GASKET,ASE 70 PD.ME,PACKET,0
9643203,INTERLOCK GASKET,ASE 70 PD.ME,PACKET,0
9643204,GASKET PIECE,ASE 70 PD.ME,PACKET,0
9643726,OUTER SHELL ( 9643729) ( O ),ASE 55 Lift & Slide,BAR,0
9643727,INNER SHELL ( 9643729) ( I ),ASE 55 Lift & Slide,BAR,0
9643749,ADAPTER PROFILE,ASE 55 Lift & Slide,BAR,0
9643750,"DRIP BAR, MULTI TRACK",ASE 55 Lift & Slide,BAR,0
9643756,ALUMINIUM SPEACER FOR FIXED VENT,ASE 55 Lift & Slide,BAR,0
9643765,COVER PROFILEV (PVC),ASE 55 Lift & Slide,BAR,0
9643766,COVER PROFILE (PVC),ASE 55 Lift & Slide,BAR,0
9643767,END CAP,ASE 55 Lift & Slide,PACKET,0
9643771,CENTRE SEAL KIT,ASE 55 Lift & Slide,NO,0
9644717,VENT FRAME (9644718),ASE 70 PD.ME,BAR,0
9645362,OUTER FRAME BOTTOM 500 GUTTER (9645363)  ( O ),ASE 70 PD.ME,BAR,0
9645368,"INTEGRATED GUTTER, 500KG, ALUMINIUM",ASE 70 PD.ME,BAR,0
9645370,additional profile,ASE 70 PD.ME,BAR,0
9647158,ADAPTER FOR 2 POINT LOCKING,ASE 55 Lift & Slide,BAR,0
9647594,"INSERT PROFILE FOR FINISH FLOOR, ALUMINIUM",ASE 70 PD.ME,BAR,0
9647595,"INSERT PROFILE FOR FINISH FLOOR, ALUMINIUM",ASE 70 PD.ME,BAR,0
9648147,Sealing pad part,ASE 36,NO,0
9648148,sealing piece,ASE 36 (BALANCE),PACKET,0
9648149,sealing piece,ASE 36 (BALANCE),PACKET,0
9648150,sealing piece,ASE 36 (BALANCE),PACKET,0
9648160,cap,ASE 36 (BALANCE),PACKET,0
9648161,"Glazing support
(100x30x4)",ASE 36,PACKET,0
9648162,Cover profile,ASE 36,BAR,0
9648164,Gasket,ASE 36,PACKET,0
9648167,Sealing pad,ASE 36,PACKET,0
9648168,Sealing pad,ASE 36,PACKET,0
9648170,Sealing pad,ASE 36,PACKET,0
9648314,9648314,ASE 54 PD,NO,0
9648319,9648319,ASE 54 PD,NO,0
9648621,INNER SHELL ( 9648622) ( I ),ASE 55 Lift & Slide,BAR,0
9648625,END CAP REINFORCEMENT PROFILES,ASE 55 Lift & Slide,PACKET,0
9649621,Sealing pad part,ASE 36,NO,0
9649622,Sealing pad part,ASE 36,NO,0
9649623,Sealing pad part,ASE 36,NO,0
9649624,Sealing pad part,ASE 36,NO,0
9649625,Sealing pad part,ASE 36,NO,0
9649626,Sealing pad part,ASE 36,NO,0
9649627,Sealing pad part,ASE 36,NO,0
9649628,Sealing pad part,ASE 36,NO,0
9649629,Sealing pad part,ASE 36,NO,0
9650457,BRUSH SEAL,ASE 70 PD.ME,PACKET,0
9650481,2 POINT LOCKING WITH ANTI MISHANDLING DEVICE,ASE 55 Lift & Slide,PACKET,0
9650484,HANDLE RIGHT SIDE (RS),ASE 55 Lift & Slide,NO,0
9650487,HANDLE LEFT SIDE (LS),ASE 55 Lift & Slide,NO,0
9650488,LOCKING KEEP,ASE 55 Lift & Slide,PACKET,0
9651248,Gear support,ASE 36,PACKET,0
9651359,Meeting Rail,ASE 70 (POCKET SLIDING),BAR,0
9654598,Handle RS,ASE 36,NO,0
9654599,Handle LS,ASE 36,NO,0
9655380,"Drip Bar Profile, Aluminium",ASE 36,BAR,0
9655841,Frame Gasket,ASE 36,PACKET,0
9657617,Cover,ASE 36,PAIR,0
9657618,plastic cap RAL 9010,ASE 36 (BALANCE),PACKET,0
9658293,Profile,ASE 36,BAR,0
9659956,"INSERT PROFILE, ROLLER CARRIAGE, 500KG, ALUMINI",ASE 70 PD.ME,BAR,0
9660994,ROLLER CLAMP - 500KG,ASE 70 PD.ME,PACKET,0
9662827,sealing piece LS,ASE 36 (BALANCE),NO,0
9665595,mullion outer prof.,ASE 80 Lift & Slide + CW,BAR,0
9665597,vent frame inner pr.,ASE 80 Lift & Slide + CW,BAR,0
9665599,vent frame outer pr.,ASE 80 Lift & Slide + CW,BAR,0
